IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
195.133.44.21,195.133.44.21,443,3.21,DE,ZRH,136.24,158.37
2.26.108.197,2.26.108.197,443,3.2,DE,FRA,186.93,223.64
91.99.161.159,2a01:4f8:1c1a:3b4e::1,443,3.2,DE,CDG,140.15,185.69
194.164.192.16,194.164.192.16,443,3.2,DE,TXL,152.21,156.8
185.68.184.15,185.68.184.15,443,3.2,DE,AMS,137.92,154.33
130.61.129.162,130.61.129.162,443,3.19,DE,FRA,141.71,151.98
31.76.96.60,31.76.96.60,443,3.19,DE,FRA,152.84,170.81
13.140.28.247,13.140.28.247,443,3.19,DE,VIE,146.71,164.52
89.106.78.217,89.106.78.217,443,3.19,DE,HAM,137.27,153.66
89.107.10.194,89.107.10.194,443,3.18,DE,FRA,145.25,155.23
93.185.157.153,93.185.157.153,443,3.18,DE,FRA,168.66,180.81
144.31.62.254,144.31.62.254,443,3.18,DE,FRA,140.77,150.22
178.105.70.222,178.105.70.222,443,3.18,DE,FRA,142.65,154.85
158.101.190.78,2603:c020:8012:af01:aed5:a52d:5a69:c5ce,443,3.17,DE,MUC,152.04,166.87
5.75.182.89,5.75.182.89,443,3.14,DE,CDG,140.63,170.5
45.150.32.112,45.150.32.112,443,3.09,DE,FRA,146.31,150.95
57.131.143.10,57.131.143.10,8443,3.07,DE,FRA,148.69,176.18
216.57.104.110,216.57.104.110,443,3.07,DE,AMS,141.1,159.11
129.159.25.87,129.159.25.87,443,3.07,DE,FRA,138.36,153.3
185.66.165.51,185.66.165.4,443,3.06,DE,FRA,144.08,210.94
82.21.117.56,82.21.117.56,2053,3.06,DE,FRA,145.0,165.73
195.133.65.232,195.133.65.232,443,3.04,DE,FRA,145.7,189.94
185.103.253.187,185.103.253.187,443,3.04,DE,AMS,144.2,155.96
57.131.143.11,57.131.143.11,443,3.03,DE,FRA,160.59,169.96
82.165.20.186,82.165.20.186,443,3.03,DE,TXL,152.76,157.26
3.121.85.142,3.121.85.142,443,3.02,DE,FRA,137.58,147.79
91.107.152.178,91.107.152.178,443,3.02,DE,CDG,140.94,172.08
64.188.99.214,64.188.99.214,443,3.02,DE,FRA,151.93,180.33
85.208.139.77,2a05:541:103:4a::1,443,3.02,DE,FRA,151.45,145.2
57.131.143.11,57.131.143.11,8443,3.0,DE,FRA,165.14,174.52
212.43.158.216,212.43.158.216,443,3.0,DE,MUC,137.65,152.42
154.91.170.141,185.221.237.22,443,2.99,DE,FRA,225.79,209.11
167.71.45.93,167.71.45.93,8443,2.98,DE,FRA,156.82,168.33
179.254.115.109,179.254.115.109,443,2.98,DE,FRA,141.29,145.36
57.131.143.10,57.131.143.10,2096,2.95,DE,FRA,149.77,167.5
138.124.230.140,138.124.230.140,443,2.95,DE,MUC,152.78,191.79
130.61.38.70,130.61.38.70,443,2.95,DE,FRA,138.33,140.85
82.21.117.56,82.21.117.56,443,2.95,DE,FRA,145.88,169.32
31.77.223.15,31.77.223.15,443,2.94,DE,FRA,147.28,154.44
193.37.70.63,193.37.70.63,443,2.94,DE,MUC,156.67,183.99
165.232.122.113,165.232.122.113,443,2.94,DE,FRA,139.62,151.57
87.120.216.124,2a0b:4141:820:c34::2,443,2.94,DE,MXP,147.39,175.22
144.31.188.50,144.31.188.50,443,2.94,DE,MUC,156.29,193.87
89.19.209.6,89.19.209.6,443,2.94,DE,AMS,142.13,161.42
178.17.48.78,178.17.48.78,443,2.93,DE,FRA,150.04,162.89
72.56.106.210,72.56.106.210,443,2.92,DE,AMS,138.25,158.53
195.58.38.9,195.58.38.9,443,2.91,DE,MUC,149.5,162.27
5.61.39.183,5.61.39.183,443,2.91,DE,LHR,137.74,172.65
72.56.106.58,72.56.106.58,443,2.91,DE,AMS,138.35,159.38
150.241.115.111,150.241.115.111,443,2.9,DE,FRA,152.48,177.54
185.221.237.22,185.221.237.22,443,2.9,DE,FRA,157.8,172.53
147.90.44.249,67.220.82.10,443,2.9,DE,FRA,147.49,145.84
195.133.193.94,2605:e440:1::1:bd,443,2.89,DE,AMS,142.42,154.28
87.251.87.213,87.251.87.213,443,2.89,DE,FRA,147.09,153.09
209.38.230.204,209.38.230.204,443,2.88,DE,FRA,139.68,147.74
185.246.222.239,185.246.222.239,443,2.87,DE,FRA,162.07,173.38
167.233.25.42,167.233.25.42,443,2.87,DE,FRA,143.1,162.25
172.86.95.236,172.86.95.236,443,2.87,DE,FRA,149.17,151.41
188.245.161.141,2a01:4f8:c17:1e71::1,443,2.85,DE,PRG,142.15,158.64
194.180.188.241,194.180.188.241,443,2.83,DE,FRA,146.04,171.86
216.57.104.59,216.57.104.59,8443,2.82,DE,AMS,137.91,170.77
212.113.112.223,212.113.112.223,443,2.82,DE,FRA,153.4,176.69
57.131.143.11,57.131.143.11,2096,2.79,DE,FRA,155.56,171.94
103.228.168.80,2a02:6b40:2000:112b::1,443,2.79,DE,FRA,146.24,152.2
64.188.118.137,64.188.118.137,443,2.78,DE,FRA,152.46,154.71
103.228.168.182,2a02:6b40:2000:1747::1,443,2.78,DE,FRA,138.64,144.77
213.21.241.179,2a01:ecc0:40:28a::2,443,2.76,DE,FRA,151.05,163.01
157.90.123.229,2a01:4f8:1c1b:67bc::1,443,2.75,DE,CDG,145.66,176.1
93.152.217.9,93.152.217.9,443,2.73,DE,FRA,163.61,177.32
213.176.78.59,213.176.78.59,443,2.73,DE,FRA,150.48,165.45
185.110.191.87,103.75.199.16,443,2.73,DE,FRA,149.43,171.51
185.204.169.137,185.204.169.137,443,2.72,DE,FRA,152.64,157.57
89.125.68.56,89.125.68.56,443,2.7,DE,ZRH,145.23,164.6
185.209.82.152,185.209.82.152,443,2.69,DE,FRA,147.14,151.1
188.68.43.154,2a03:4000:17:d5c:4886:6cff:fe42:a93e,443,2.69,DE,HAM,163.1,198.29
167.71.45.93,167.71.45.93,443,2.67,DE,FRA,154.55,171.88
212.192.4.231,212.192.4.231,443,2.66,DE,FRA,191.96,192.5
91.149.233.78,2605:e440:1::3:211,443,2.66,DE,AMS,137.38,158.61
151.247.209.11,151.247.209.11,443,2.65,DE,FRA,149.23,148.29
140.82.34.21,2a05:f480:1800:383:5400:4ff:fe13:c21c,2053,2.64,DE,FRA,143.95,155.48
206.251.50.222,206.251.50.222,443,2.64,DE,ZRH,145.77,162.29
108.165.236.142,108.165.236.142,443,2.64,DE,FRA,153.86,185.6
64.226.111.98,64.226.111.98,443,2.63,DE,LHR,145.93,181.2
78.47.150.18,78.47.150.18,443,2.63,DE,FRA,146.93,157.48
179.254.115.83,179.254.115.83,443,2.62,DE,FRA,137.43,150.83
138.124.28.78,2a0b:4141:820:1ae7::2,443,2.62,DE,FRA,151.89,172.06
140.99.101.63,140.99.101.63,443,2.61,DE,ZRH,147.01,154.59
188.220.132.34,188.220.132.34,443,2.6,DE,MUC,170.44,186.29
91.107.240.211,91.107.240.211,443,2.6,DE,CDG,142.17,189.42
147.90.44.207,68.168.29.88,443,2.58,DE,FRA,144.7,146.42
77.239.99.29,77.239.99.29,443,2.58,DE,FRA,148.99,152.17
82.115.20.202,82.115.20.202,443,2.56,DE,FRA,149.94,174.36
82.153.50.212,82.153.50.212,443,2.56,DE,ZRH,154.95,187.97
116.202.132.205,2a01:4f8:231:4c65::2,443,2.55,DE,PRG,139.45,154.18
217.154.237.115,217.154.237.115,443,2.55,DE,TXL,151.88,155.89
89.40.117.143,89.40.117.143,443,2.55,DE,MUC,148.01,163.87
212.113.104.94,212.113.104.94,443,2.54,DE,FRA,142.7,159.11
81.29.146.124,81.29.146.124,443,2.53,DE,FRA,149.64,147.99
64.188.105.184,2a12:bec4:1bb0:657::2,443,2.53,DE,FRA,151.29,174.75
194.87.199.13,194.87.199.13,443,2.53,DE,MUC,151.04,193.43
144.31.213.4,144.31.213.4,443,2.52,DE,FRA,149.75,164.36
86.53.110.15,86.53.110.15,443,2.51,DE,FRA,153.79,150.32
45.129.242.17,45.129.242.17,443,2.51,DE,DUS,137.65,154.89
79.132.136.161,2a02:6b40:2000:10a1::1,443,2.51,DE,FRA,142.44,147.59
109.122.197.126,2a0b:4141:820:933::2,443,2.5,DE,FRA,151.45,173.39
152.53.229.84,2a0a:4cc0:c0:8d54:986c:94ff:fe59:b533,8443,2.47,DE,FRA,142.47,152.35
79.137.207.222,89.169.55.137,443,2.46,DE,FRA,151.49,161.48
155.117.234.93,155.117.234.93,443,2.42,DE,FRA,151.85,160.77
89.191.226.252,89.191.226.252,443,2.41,DE,AMS,138.37,157.72
111.88.74.167,111.88.74.167,443,2.41,DE,ZRH,149.94,176.48
84.32.223.113,84.32.223.113,443,2.39,DE,FRA,138.62,142.91
64.188.66.138,64.188.66.138,2053,2.38,DE,OTP,144.96,208.09
144.31.218.65,144.31.218.65,443,2.38,DE,FRA,151.32,161.42
79.132.140.36,2a02:6b40:2000:13b3::1,443,2.38,DE,FRA,138.52,144.7
46.225.149.10,46.225.149.10,443,2.37,DE,FRA,140.1,155.06
217.154.163.39,217.154.163.39,443,2.36,DE,TXL,150.87,161.74
2.26.118.141,2.26.118.141,443,2.35,DE,MUC,145.52,207.23
193.23.216.207,193.23.216.207,443,2.33,DE,FRA,148.49,161.52
91.107.171.251,2a01:4f8:1c17:c311::1,443,2.31,DE,PRG,141.06,158.38
217.154.199.137,217.154.199.137,443,2.3,DE,TXL,155.93,164.86
185.94.166.8,185.17.122.89,443,2.3,DE,FRA,142.67,151.45
78.47.146.151,78.47.146.151,443,2.27,DE,CDG,139.44,189.07
46.203.233.247,46.203.233.247,443,2.27,DE,FRA,137.39,140.02
